name,prompt,negative_prompt
______Base PN______,"half-length portrait of a female 30yo, look at viewer",
RETOUCH (Upscale),"masterpiece, best quality, highres, <lora:more_details:0.5>, <lora:SDXLrender_v2.0:1>","(worst quality, low quality, normal quality:2) JuggernautNegative-neg"
AnimeXL Base,"ultra-detailed,(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),
anime,
{prompt}
BREAK","cover eyes,(bad anatomy:1.5),bad hands,missing fingers,extra digit,fewer digits,3D,extra arms,extra hand,extra legs,extra finger,"
AnimeXL Base4(SXL),"anime artwork, anime style, key visual, vibrant, studio anime, abstract background, highly detailed

BREAK
","photo, deformed, black and white, realism, disfigured, low contrast, hands"
animagineXLV3 Base,"{prompt} ","nsfw,lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,artist name,"
counterfeitxl_v25 Base,"masterpiece,flat color
{prompt} ","anime style,negativeXL_D,(low quality, worst quality:1.2),bad anatomy,fewer digits,extra fingrers,"
PonyDiffusionV6_defult,"score_9,score_8_up,score_7_up,score_6_up,score_5_up,score_4_up,just describe what you want,tag1,tag2,

Other special data selection tags include, 'source_pony', 'source_furry', 'source_cartoon' and 'source_anime' and ratings of 'rating_safe', 'rating_questionable' and 'rating_explicit'.","score_6, score_5, score_4,"
DreamshaperXL,"comic sky pirate, {prompt},graphic illustration,comic art,graphic novel art,vibrant,highly detailed,","photograph, deformed, glitch, noisy, realistic, stock photo, (cleavage:1.2), headset, headgear, holding a sword, long neck, asymmetrical eyes, signature, watermark,"
sdxlUnstableDiffusers,"amazing anime artwork  award winning,((masterpiece)),((best quality)),((detailed)),Unparalleled,((Enchanting)),((Impressive)),{prompt}","bad quality,bad anatomy,worst quality,low quality,low resolution,extra fingers,blur,blurry,ugly,wrong proportions,watermark,image artifacts,lowres,ugly,jpeg artifacts,deformed,noisy image,deformation,skin moles,"
sdxlUnstableDiffusers_v10TURBOEDITION,{prompt},"bad quality,bad anatomy,worst quality,low quality,low resolution,extra fingers,blur,blurry,ugly,wrong proportions,watermark,image artifacts,lowres,ugly,jpeg artifacts,deformed,noisy image,"
turboDiffusionXL_v12,"anime,","photograph,deformed,glitch,noisy,realistic,stock photo,(cleavage:1.2),headset,headgear,holding a sword,long neck,asymmetrical eyes,signature,watermark,"
PonyDiffusionV6_Base,"score_9,score_8_up,score_7_up,score_6_up,score_5_up,score_4_up
{prompt}","score_6, score_5, score_4,"
Basic Negative,,"(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floabng limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugty, disgusting, blurry, amputation"
js2prony,"score_9, score_8_up, score_7_up, best quality, masterpiece, 4k, uncensored, prefect lighting, rating_explicit, very aesthetic, anime 
BREAK
{prompt}","score_6, score_5,negativeXLD, (censored, bar censor:1.1), long neck,fat, (worst quality, low quality:1.4), simple background, white background, covered navel, thick thighs, sketch, normal quality, jpeg artifacts, (muscular:1.2), (depth of field, blurry:1.2), bloom, messy drawing, amateur drawing, (fewer digits, extra digits:1.4), greyscale, monochrome,  bad artist,source_comic, source_furry, source_pony, sketch, painting, monochrome, fat, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits"
